City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,west island,-12.1568,96.8225,296.14,78,75,9.26,CC,1691006454
84,haiku-pauwela,20.9219,-156.3051,300.51,77,27,4.47,US,1691006454
85,yellowknife,62.456,-114.3525,294.44,43,75,5.14,CA,1691006454
86,olonkinbyen,70.9221,-8.7187,279.33,89,39,2.33,SJ,1691006455
87,bredasdorp,-34.5322,20.0403,282.47,75,0,1.26,ZA,1691006455
88,south yarmouth,41.6668,-70.1847,297.69,65,0,4.12,US,1691006456
89,vadso,70.0744,29.7487,293.64,82,0,5.14,NO,1691006456
90,nyrob,60.733,56.7202,291.44,75,88,1.08,RU,1691006456
91,tazovsky,67.4667,78.7,283.9,65,6,5.5,RU,1691006457
92,nova vicosa,-17.8919,-39.3719,295.35,70,43,2.78,BR,1691006396
93,hilo,19.7297,-155.09,300.34,88,98,0.89,US,1691006411
94,kayangel,8.0823,134.7173,300.49,77,100,1.88,PW,1691006458
95,qaqortoq,60.7167,-46.0333,279.18,88,77,3.74,GL,1691006458
96,coronel dorrego,-38.7187,-61.2873,286.04,34,6,5.18,AR,1691006458
97,weining,26.85,104.2333,289.15,94,98,0.86,CN,1691006459
98,sabha,27.0377,14.4283,305.41,17,0,4.13,LY,1691006459
99,amurzet,47.6967,131.0981,293.87,98,93,3.75,RU,1691006459
100,itoman,26.1247,127.6694,300.36,94,75,17.49,JP,1691006460
101,farap,39.1704,63.6116,305.15,19,0,3.09,TM,1691006460
102,ribeira grande,38.5167,-28.7,299.37,69,20,3.13,PT,1691006461
103,port elizabeth,-33.918,25.5701,284.31,93,0,1.54,ZA,1691006462
104,xilin hot,43.9667,116.0333,297.23,69,5,4.93,CN,1691006463
105,yaren,-0.5472,166.916,301.85,71,92,4.17,NR,1691006463
106,pisco,-13.7,-76.2167,294.18,68,100,4.12,PE,1691006465
107,kutum,14.2,24.6667,301.1,45,64,1.08,SD,1691006465
108,atafu village,-8.5421,-172.5159,301.61,73,92,5.89,TK,1691006467
109,sergeyevka,53.88,67.4158,290.52,86,0,2.66,KZ,1691006468
110,saint-francois,46.4154,3.9054,293.84,52,0,5.14,FR,1691006468
111,stanley,54.868,-1.6985,286.92,95,75,4.12,GB,1691006429
112,noosa heads,-26.3833,153.15,288.89,59,84,7.25,AU,1691006469
113,puerto baquerizo moreno,-0.9,-89.6,300.7,69,40,6.69,EC,1691006470
114,nemuro,43.3236,145.575,291.1,91,49,6.51,JP,1691006470
115,jamestown,42.097,-79.2353,298.72,51,20,3.09,US,1691006309
116,mezhdurechenskiy,59.6,65.9333,290.33,94,41,2.3,RU,1691006471
117,quellon,-43.1167,-73.6167,281.29,61,75,4.63,CL,1691006472
118,albu kamal,34.45,40.9186,307.61,14,0,3.84,SY,1691006472
119,ust-nera,64.5667,143.2,286.86,57,57,1.27,RU,1691006473
120,laramie,41.3114,-105.5911,298.76,43,67,0.89,US,1691006473
121,la junta,37.985,-103.5438,308.74,24,11,0.71,US,1691006345
122,smithers,54.7804,-127.1743,288.33,72,75,2.06,CA,1691006456
123,tahoua,14.8888,5.2692,306.23,42,10,3.42,NE,1691006474
124,zungeru,9.8128,6.1558,302.14,91,86,1.6,NG,1691006475
125,tura,25.5198,90.2201,297.68,95,100,2.58,IN,1691006476
126,remire-montjoly,4.9167,-52.2667,300.17,78,8,4.63,GF,1691006476
127,okha,53.5739,142.9478,285.11,93,100,5.16,RU,1691006477
128,yamba,-5.9,22.3,299.45,24,60,1.32,CD,1691006477
129,harstad,68.799,16.5293,291.06,100,100,6.26,NO,1691006478
130,talnakh,69.4865,88.3972,285.49,42,12,1.14,RU,1691006478
131,kapuskasing,49.4169,-82.4331,291.2,94,100,3.09,CA,1691006408
132,dudinka,69.4058,86.1778,285.72,46,17,8.57,RU,1691006479
133,san julian,21.0167,-102.1667,298.96,34,79,1.16,MX,1691006480
134,jastrebarsko,45.6683,15.6486,295.9,100,0,1.7,HR,1691006481
135,puerto santa,-8.9906,-78.6456,295.12,72,11,5.1,PE,1691006481
136,isafjordur,66.0755,-23.124,283.17,76,20,2.57,IS,1691006482
137,flying fish cove,-10.4217,105.6791,296.97,94,100,3.6,CX,1691006482
138,port mathurin,-19.6833,63.4167,296.68,74,1,7.77,MU,1691006483
139,port isabel,26.0734,-97.2086,309.2,68,0,6.17,US,1691006223
140,freetown,8.484,-13.2299,299.99,83,75,6.17,SL,1691006485
141,el nido,11.1858,119.3956,300.76,79,100,7.27,PH,1691006485
142,nar'yan-mar,67.6713,53.087,292.63,68,11,3.85,RU,1691006486
